Word	#
the	195
i	129
of	80
to	80
a	54
in	53
you	49
was	41
this	39
is	35
have	34
my	34
on	31
and	29
with	28
that	26
them	26
be	24
by	23
not	23
for	23
will	22
it	22
shall	21
do	21
who	21
me	21
if	19
all	17
one	16
people	16
some	15
up	15
they	15
out	15
at	13
back	13
are	13
as	13
am	12
last	12
police	12
your	12
zodiac	12
when	12
would	12
missed	12
car	11
thing	11
like	11
his	10
cipher	10
or	10
kill	10
then	10
speaking	10
about	10
but	10
girl	9
christmass	8
page	8
night	8
killing	8
so	8
there	8
never	8
bomb	8
th	7
july	7
only	7
boy	7
print	7
end	7
more	7
over	7
vallejo	7
way	7
did	7
rather	7
their	7
nice	7
buttons	7
can	7
slaves	7
know	6
ammo	6
feet	6
shot	6
fry	6
around	6
untill	6
were	6
cop	6
could	6
see	6
light	6
gun	6
no	6
think	6
others	6
list	6
none	6
from	6
because	6
dear	5
prove	5
state	5
which	5
west	5
wearing	5
part	5
being	5
sf	5
front	5
had	5
down	5
man	5
get	5
school	5
bus	5
ps	5
wear	5
dont	5
editor	4
name	4
x	4
fired	4
right	4
side	4
knee	4
here	4
other	4
parts	4
want	4
off	4
killed	4
times	4
very	4
happy	4
time	4
tell	4
he	4
how	4
well	4
what	4
black	4
park	4
just	4
children	4
nasty	4
any	4
every	4
got	4
take	4
theyd	4
im	4
tut	4
please	4
blue	4
help	4
much	4
teenagers	3
lake	3
herman	3
facts	3
brand	3
super	3
shots	3
also	3
made	3
western	3
mailed	3
afternoon	3
aug	3
go	3
rampage	3
move	3
dozen	3
her	3
paper	3
st	3
weekend	3
again	3
good	3
him	3
away	3
fun	3
shoot	3
area	3
most	3
cab	3
wont	3
run	3
ive	3
little	3
hands	3
blast	3
saw	3
lot	3
going	3
best	3
longer	3
work	3
set	3
now	3
been	3
into	3
titwillo	3
look	3
few	3
bought	3
went	3
min	3
cops	3
killer	2
lyeing	2
patterned	2
pants	2
examiner	2
chronicle	2
whole	2
cruse	2
alone	2
murderer	2
frunt	2
sun	2
details	2
even	2
haveing	2
code	2
cheer	2
crack	2
open	2
allready	2
sitting	2
seat	2
began	2
head	2
same	2
aim	2
leave	2
quite	2
attention	2
phone	2
walking	2
dark	2
hills	2
flash	2
barrel	2
center	2
aprox	2
across	2
water	2
need	2
use	2
cover	2
north	2
bay	2
road	2
make	2
should	2
parked	2
cars	2
come	2
wipe	2
though	2
laugh	2
before	2
news	2
while	2
yet	2
new	2
lonely	2
type	2
top	2
else	2
paradice	2
let	2
yes	2
victom	2
must	2
found	2
might	2
ing	2
doesnt	2
she	2
shure	2
wouldnt	2
life	2
kind	2
hope	2
enjoy	2
town	2
power	2
melvin	2
etc	2
ones	2
said	2
catch	2
something	2
after	2
finding	2
ask	2
hold	2
loose	2
control	2
dig	2
too	2
ad	2
sent	2
except	2
an	2
where	2
ever	2
seen	2
collecting	2
killings	2
fake	2
left	2
say	2
finger	2
why	2
gave	2
hey	2
pig	2
fire	2
pulled	2
asked	2
death	2
machiene	2
bat	2
whether	2
sight	2
re	2
public	2
week	1
stray	1
coupples	1
near	1
golf	1
course	1
brandname	1
firl	1
paterned	1
slacks	1
editors	1
idenity	1
crose	1
ciph	1
er	1
answer	1
asking	1
supply	1
material	1
door	1
window	1
rolled	1
origionaly	1
fireing	1
first	1
leaped	1
backwords	1
thus	1
spoiling	1
ed	1
floor	1
thoshing	1
violently	1
legs	1
thats	1
cene	1
squealling	1
tires	1
raceing	1
engine	1
described	1
drove	1
slowly	1
draw	1
told	1
brown	1
negro	1
shabbly	1
dressed	1
booth	1
hung	1
dam	1
ring	1
drew	1
epasode	1
wondering	1
coold	1
hit	1
victoms	1
openly	1
implied	1
saying	1
lit	1
silowets	1
horizon	1
bullshit	1
suounded	1
high	1
trees	1
tape	1
small	1
pencel	1
notice	1
centar	1
beam	1
wall	1
celling	1
darck	1
spot	1
circle	1
taped	1
bullet	1
strike	1
exactly	1
dot	1
spray	1
hose	1
sights	1
age	1
taxi	1
driver	1
washington	1
maple	1
blood	1
stained	1
piece	1
shirt	1
poople	1
cought	1
searched	1
properly	1
stead	1
holding	1
races	1
motorcicle	1
seeing	1
noise	1
drivers	1
sat	1
quietly	1
waiting	1
target	1
morning	1
tire	1
pick	1
kiddies	1
bouncing	1
hear	1
bad	1
cant	1
awfully	1
ignored	1
torture	1
wateing	1
tie	1
ant	1
watch	1
scream	1
twich	1
sqwirm	1
pine	1
splinters	1
driven	1
under	1
nails	1
burned	1
placed	1
cages	1
fed	1
salt	1
beef	1
gorged	1
listen	1
pleass	1
hang	1
thumbs	1
burn	1
rub	1
deep	1
heat	1
warm	1
skin	1
alive	1
screaming	1
billiard	1
players	1
play	1
ened	1
dungen	1
crooked	1
cues	1
twisted	1
shoes	1
great	1
flicting	1
delicious	1
pain	1
day	1
may	1
hapen	1
society	1
offenders	1
underground	1
pest	1
ulentual	1
nucences	1
whrite	1
autographs	1
flabby	1
irritat	1
laughs	1
dates	1
implore	1
implatt	1
shakeing	1
shake	1
third	1
persons	1
unspoiling	1
thoes	1
insist	1
theres	1
banjo	1
seranader	1
race	1
piano	1
orginast	1
eat	1
pepermint	1
phomphit	1
face	1
idiout	1
